"crash_date_time","collision_type","weather","surface_condition","light","driver_at_fault","injury_severity","vehicle_first_impact_location","vehicle_body_type","vehicle_movement","vehicle_going_dir","speed_limit","vehicle_year","vehicle_make","vehicle_model","latitude","longitude","location"
"09/17/2024 04:41:00 PM","Front to Rear","Rain","Wet","Daylight","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Stopped in Traffic","Northbound","55","2010","CHEVROLET","EXPRESS","39.11485928","-77.19158805","(39.11485928, -77.19158805)"
"09/17/2024 03:45:00 PM","Angle","Cloudy","Wet","Daylight","Yes","No Apparent Injury","Eleven O Clock","Pickup","Entering Traffic Lane","Westbound","35","2021","FORD","F-350","39.02394033","-77.01102917","(39.02394033, -77.01102917)"
"09/17/2024 08:15:00 AM","Sideswipe, Same Direction","Clear","Dry","Daylight","Yes","No Apparent Injury","Five O Clock","Bus - School","Moving Constant Speed","Eastbound","25","2016","THO","UNKNOWN","39.10500007","-77.25362776","(39.10500007, -77.25362776)"
"09/17/2024 05:35:00 AM","Sideswipe, Same Direction","Cloudy","Dry","Dark - Lighted","No","No Apparent Injury","Eight O Clock","Sport Utility Vehicle","Moving Constant Speed","Westbound","30","2019","MITSUBISHI","OUTLANDER","39.08578341","-77.17060638","(39.08578341, -77.17060638)"
"09/16/2024 09:13:00 PM","Angle","Clear","Dry","Dark - Lighted","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Northbound","40","2010","HONDA","CIVIC","39.11514467","-77.215662","(39.11514467, -77.215662)"
"09/16/2024 06:30:00 PM","Front to Rear","Clear","Dry","Daylight","Yes","No Apparent Injury","Twelve O Clock","Sport Utility Vehicle","Moving Constant Speed","Eastbound","30","2021","JEEP","CHEROKEE","39.15404","-77.19673333","(39.15404, -77.19673333)"
"09/16/2024 03:40:00 PM","Front to Rear","Clear","Dry","Daylight","No","No Apparent Injury","Six O Clock","Van - Passenger (&lt;9 Seats)","Moving Constant Speed","Eastbound","35","2021","FORD","TRANSIT","39.05355017","-77.09122317","(39.05355017, -77.09122317)"
"09/16/2024 01:29:00 PM","Front to Rear","Clear","Dry","Daylight","No","No Apparent Injury","Six O Clock","Passenger Car","Stopped in Traffic","Southbound","45","2003","FORD","F-250","39.10858741","-76.99795123","(39.10858741, -76.99795123)"
"09/16/2024 12:45:00 PM","Sideswipe, Same Direction","Clear","Dry","Daylight","Yes","No Apparent Injury","Ten O Clock","Passenger Car","Entering Traffic Lane","Southbound","30","2021","TOYOTA","COROLLA","39.06449276","-77.12638623","(39.06449276, -77.12638623)"
"09/16/2024 11:30:00 AM","Front to Rear","Clear","Dry","Daylight","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Slowing or Stopping","Southbound","35","2017","JEEP","COMPASS","39.17965644","-77.26815293","(39.17965644, -77.26815293)"
"09/16/2024 05:01:00 AM","Front to Rear","Clear","Dry","Dark - Lighted","No","No Apparent Injury","Six O Clock","Passenger Car","Making U-Turn","Southbound","35","2019","KIA","SPORTAGE","39.01091133","-77.00153183","(39.01091133, -77.00153183)"
"09/15/2024 09:10:00 PM","Angle","Clear","Dry","Dark - Lighted","Yes","No Apparent Injury","Twelve O Clock","Sport Utility Vehicle","Accelerating","Northbound","30","2007","NISSAN","TITAN","38.98816291","-77.012401","(38.98816291, -77.012401)"
"09/15/2024 07:58:00 PM","Front to Rear","Clear","Dry","Dark - Lighted","Yes","No Apparent Injury","Six O Clock","Passenger Car","Stopped in Traffic","Northbound","35","2013","FORD","FOCUS","39.05296097","-77.05089437","(39.05296097, -77.05089437)"
"09/15/2024 04:45:00 PM","Single Vehicle","Clear","Dry","Daylight","Yes","Suspected Minor Injury","Twelve O Clock","Sport Utility Vehicle","Moving Constant Speed","Southbound","25","2023","LINCOLN","AVIATOR","38.98108086","-77.12566274","(38.98108086, -77.12566274)"
